,zone,mean,std,min,max,var,time,spectral_index
3,3,-0.1142802011399042,0.08490657129141868,-0.3501896262168884,-0.013605460524559021,0.007209125848464763,2021-03-01 04:57:21.024,NDWI
4,4,-0.06398571454561673,0.09190226669412409,-0.31735748052597046,0.06306305527687073,0.00844602662351791,2021-03-01 04:57:21.024,NDWI
5,5,0.11873449930330603,0.11542580428492638,-0.16146540641784668,0.24773664772510529,0.013323116294822128,2021-03-01 04:57:21.024,NDWI
6,6,-0.09219340085983277,0.07288854495484035,-0.3204118609428406,-0.000918255012948066,0.005312739985633782,2021-03-01 04:57:21.024,NDWI
7,7,-0.16373483339945474,0.11952436215794571,-0.49318286776542664,-0.01825166679918766,0.014286073149263763,2021-03-01 04:57:21.024,NDWI
8,8,-0.06266529560089111,0.11138110097724564,-0.31562820076942444,0.08708707243204117,0.012405749654903389,2021-03-01 04:57:21.024,NDWI
9,9,-0.08096806626570852,0.08407501544527814,-0.3406113386154175,0.014170016162097454,0.007068608222123757,2021-03-01 04:57:21.024,NDWI
10,10,0.010527284940083821,0.10038119806162218,-0.19503945112228394,0.16091954708099365,0.010076384924286622,2021-03-01 04:57:21.024,NDWI
11,11,0.04146252019064767,0.09648857879831384,-0.20638540387153625,0.16583912074565887,0.009310045838518417,2021-03-01 04:57:21.024,NDWI
12,12,-0.007838850929623558,0.07600677339485887,-0.2007848173379898,0.09902068227529526,0.0057770296018974255,2021-03-01 04:57:21.024,NDWI
13,13,-0.06797830263773601,0.13430659195755854,-0.3737596571445465,0.09090908616781235,0.018038260643254127,2021-03-01 04:57:21.024,NDWI
14,14,-0.172469969718687,0.13416755653007734,-0.43402352929115295,0.01848049834370613,0.018000933225251495,2021-03-01 04:57:21.024,NDWI
15,15,-0.0272865891456604,0.1081394202189751,-0.3660244941711426,0.1703992486000061,0.01169413420529608,2021-03-01 04:57:21.024,NDWI
16,16,-0.06674469113349915,0.07309730671385387,-0.2555555999279022,0.04449152573943138,0.005343216248819225,2021-03-01 04:57:21.024,NDWI
17,17,0.07877068808584502,0.10662291884503068,-0.21484580636024475,0.20000000298023224,0.011368446823033998,2021-03-01 04:57:21.024,NDWI
18,18,-0.11801402709063362,0.08335680676654955,-0.3128303587436676,-0.0024650890845805407,0.0069483572343158806,2021-03-01 04:57:21.024,NDWI
19,19,0.09004027193242853,0.10875650179899415,-0.19399785995483398,0.2244131714105606,0.01182797668355462,2021-03-01 04:57:21.024,NDWI
20,20,0.027950165271759034,0.1354999124303632,-0.3785574734210968,0.17739130556583405,0.01836022626863609,2021-03-01 04:57:21.024,NDWI
21,21,-0.11973763914669261,0.18262369374993795,-0.4623338580131531,0.1562499701976776,0.03335141351887113,2021-03-01 04:57:21.024,NDWI
22,22,-0.1906923566545759,0.13367074731957768,-0.41090911626815796,0.0,0.01786786868897438,2021-03-01 04:57:21.024,NDWI
0,0,0.013090244053522111,0.4221502817999663,-0.9862069487571716,0.9971830248832703,0.17821086042379092,2021-03-06 04:56:59.024,NDWI
1,1,0.09166217950674203,0.2301640490653233,-0.4489554762840271,0.4358974099159241,0.05297548948214456,2021-03-06 04:56:59.024,NDWI
2,2,0.35331732576543634,0.18225059761367013,-0.04908420518040657,0.6461768746376038,0.03321528033053991,2021-03-06 04:56:59.024,NDWI
3,3,0.2591709409441267,0.19456230020308296,-0.30895522236824036,0.5124087929725647,0.03785448866031457,2021-03-06 04:56:59.024,NDWI
4,4,0.163818726172814,0.1561026458734336,-0.24848484992980957,0.35475897789001465,0.02436803604868661,2021-03-06 04:56:59.024,NDWI
5,5,0.3183716797247166,0.1910652351118828,-0.09113764762878418,0.5290178656578064,0.03650592406835906,2021-03-06 04:56:59.024,NDWI
6,6,0.05835197567939758,0.16289732609548915,-0.40101519227027893,0.25031763315200806,0.026535538849060136,2021-03-06 04:56:59.024,NDWI
7,7,-0.023091815766834077,0.2080013097487355,-0.5476290583610535,0.23592817783355713,0.04326454485718941,2021-03-06 04:56:59.024,NDWI
8,8,0.17183293104171754,0.2513559511197439,-0.4501347541809082,0.47787606716156006,0.06317981416331107,2021-03-06 04:56:59.024,NDWI
9,9,0.3502757925736277,0.1585574182309131,0.007851560600101948,0.5683269500732422,0.025140454876052695,2021-03-06 04:56:59.024,NDWI
10,10,0.25795032183329264,0.20668233855256074,-0.16527938842773438,0.545034646987915,0.04271758906955534,2021-03-06 04:56:59.024,NDWI
11,11,0.21911773681640626,0.20606844202780733,-0.24373333156108856,0.47520002722740173,0.042464202799767786,2021-03-06 04:56:59.024,NDWI
12,12,0.309468632652646,0.17303550976629328,-0.14119921624660492,0.5540355443954468,0.029941287640080978,2021-03-06 04:56:59.024,NDWI
13,13,0.21203574680146717,0.1817430903445015,-0.22700423002243042,0.46790698170661926,0.03303055088796964,2021-03-06 04:56:59.024,NDWI
14,14,-0.012533648360160089,0.21322311111832218,-0.4521249532699585,0.2852664589881897,0.045464095114976365,2021-03-06 04:56:59.024,NDWI
15,15,0.22175168991088867,0.16283933255434083,-0.22153210639953613,0.4240506589412689,0.0265166482267432,2021-03-06 04:56:59.024,NDWI
